date,week,country,cases,death,temp,humidity,population,lat,long,prev_cases,prev_death,prev_cases2,prev_death2,school_closing,workplace_closing,cancel_public_event,rest_on_gathering,close_public_transp,stay_at_home,movement_rest,intern_travel
2021/03/08,63,FI,3943,19,-5.7,80.6,18,60.192059,24.945831,5656,25,3122,16,200,200,200,400,0,100,0,300
2021/03/15,64,SE,32075,125,1,70.2,25,59.334591,18.063240,28477,127,27201,142,200,200,200,400,100,100,100,300
2021/03/15,64,DK,4378,9,3.2,78.1,137,55.676098,12.568337,4365,13,3578,19,200,200,200,400,0,100,0,400
2021/03/15,64,NO,6513,9,0.5,67.8,15,59.911491,10.757933,4547,7,3459,10,100,300,200,400,100,100,100,300
2021/03/15,64,FI,5117,19,-1.8,85.7,18,60.192059,24.945831,3943,19,5656,25,200,200,200,400,0,100,0,300
2021/03/22,65,SE,36682,130,6.4,62.4,25,59.334591,18.063240,32075,125,28477,143,200,200,200,400,100,100,100,300
2021/03/22,65,DK,5017,14,6.6,75.6,137,55.676098,12.568337,4378,9,4365,13,200,200,200,400,0,100,0,400
2021/03/22,65,NO,6381,8,4.1,69.9,15,59.911491,10.757933,6513,9,4547,7,100,300,200,400,100,100,100,300
2021/03/22,65,FI,4422,12,1.7,78.9,18,60.192059,24.945831,5117,19,3943,19,200,200,200,400,0,100,0,300
2021/03/29,66,SE,40738,135,6.5,71.1,25,59.334591,18.063240,36682,130,32075,125,200,200,200,400,100,100,100,300
2021/03/29,66,DK,5669,15,7.4,79.2,137,55.676098,12.568337,5017,14,4378,9,200,200,200,400,0,100,0,400
2021/03/29,66,NO,5836,17,5,67,15,59.911491,10.757933,6381,8,6513,9,100,300,200,400,100,100,100,300
2021/03/29,66,"FI ",3549,29,4,78,18,60.192059,24.945831,4422,12,5117,19,200,200,200,400,0,100,0,300
