date,week,country,cases,death,temp,humidity,population,lat,long,prev_cases,prev_death,prev_cases2,prev_death2,school_closing,workplace_closing,cancel_public_event,rest_on_gathering,close_public_transp,stay_at_home,movement_rest,intern_travel
2020/05/11,20,DK,440,27,8.8,62.9,137,55.676098,12.568337,691,43,1010,5,200,200,100,400,100,100,100,400
2020/05/11,20,NO,128,19,4.7,47.3,15,59.911491,10.757933,310,9,292,11,100,200,200,300,100,0,100,400
2020/05/11,20,FI,406,32,5,71.7,18,60.192059,24.945831,701,45,704,34,100,200,200,400,0,100,100,400
2020/05/18,21,SE,3663,361,8.4,63.2,25,59.334591,18.063240,4040,421,3925,515,200,100,200,300,100,100,100,300
2020/05/18,21,DK,393,18,12,74.4,137,55.676098,12.568337,440,27,691,43,200,200,100,400,100,100,100,400
2020/05/18,21,NO,112,3,10,53.2,15,59.911491,10.757933,128,19,310,9,100,200,200,300,0,0,100,400
2020/05/18,21,FI,282,9,8.1,62.1,18,60.192059,24.945831,406,32,701,45,100,200,200,400,0,100,100,300
2020/05/25,22,SE,4196,287,12.9,66,25,59.334591,18.063240,3663,361,4040,421,200,100,200,300,100,100,100,300
2020/05/25,22,DK,294,10,13.3,72.8,137,55.676098,12.568337,393,18,440,27,200,200,100,400,100,100,0,300
2020/05/25,22,NO,102,1,13.3,57.9,15,59.911491,10.757933,112,3,128,19,100,200,200,300,0,0,100,400
2020/05/25,22,FI,258,10,14.1,50.9,18,60.192059,24.945831,282,9,406,32,100,200,200,400,0,100,100,300
2020/05/32,23,SE,5476,268,15,64.9,25,59.334591,18.063240,4196,287,3663,361,200,100,200,300,100,100,100,300
2020/05/32,23,DK,226,16,15.4,62.9,137,55.676098,12.568337,294,10,393,18,200,200,100,400,100,100,0,300
2020/05/32,23,NO,93,2,15.8,57.7,15,59.911491,10.757933,102,1,112,3,100,100,0,300,0,0,100,400
2020/05/32,23,FI,138,6,13.4,64.4,18,60.192059,24.945831,258,10,282,9,100,200,200,100,0,0,0,300
2020/06/08,24,SE,6915,236,16.8,54.3,25,59.334591,18.063240,5476,268,4196,287,200,100,200,300,100,100,100,300
2020/06/08,24,DK,297,10,16.2,72.5,137,55.676098,12.568337,226,16,294,10,200,200,100,300,100,100,0,300
2020/06/08,24,NO,102,4,15.7,62.8,15,59.911491,10.757933,93,2,102,1,100,100,0,300,0,0,100,400
2020/06/08,24,FI,123,3,16.3,66,18,60.192059,24.945831,138,6,258,10,100,200,200,100,0,0,0,300
2020/06/15,25,SE,7504,209,18.2,67,25,59.334591,18.063240,6915,236,5476,268,200,100,200,300,100,100,0,300
2020/06/15,25,DK,302,3,18.5,68.9,137,55.676098,12.568337,297,10,226,16,200,200,100,300,100,100,0,300
2020/06/15,25,NO,102,2,21.2,55.1,15,59.911491,10.757933,102,4,93,2,100,100,0,300,100,0,100,300
2020/06/15,25,FI,55,1,19.8,65.9,18,60.192059,24.945831,123,3,138,6,100,100,100,100,0,0,0,300
2020/06/22,26,SE,7304,152,21.6,57.3,25,59.334591,18.063240,7504,209,6915,236,200,100,200,300,100,100,0,300
2020/06/22,26,DK,217,4,19.9,70.7,137,55.676098,12.568337,302,3,297,10,200,200,100,300,100,100,0,300
2020/06/22,26,NO,107,5,19.7,67.6,15,59.911491,10.757933,102,2,102,4,100,100,0,300,0,0,100,300
2020/06/22,26,FI,49,2,20.3,55.9,18,60.192059,24.945831,55,1,123,3,100,100,100,100,0,0,0,300
2020/06/29,27,SE,4770,111,17.7,71.3,25,59.334591,18.063240,7304,152,7504,209,200,100,200,300,100,100,0,300
2020/06/29,27,DK,119,2,17.2,75.6,137,55.676098,12.568337,217,4,302,3,200,200,100,300,100,100,0,300
2020/06/29,27,NO,80,2,13.7,74.5,15,59.911491,10.757933,107,5,102,2,100,100,0,300,0,0,100,300
2020/06/29,27,FI,79,0,16.8,60.8,18,60.192059,24.945831,49,2,55,1,100,100,100,100,0,0,0,300
2020/07/06,28,SE,2444,90,14.6,75.2,25,59.334591,18.063240,4770,111,7304,152,200,100,200,300,100,100,0,300
2020/07/06,28,DK,160,3,14.4,73.2,137,55.676098,12.568337,119,2,217,4,200,200,100,300,100,100,0,300
2020/07/06,28,NO,70,1,12.5,70.6,15,59.911491,10.757933,80,2,107,5,100,100,0,300,0,0,100,300
2020/07/06,28,FI,20,0,14.6,76.5,18,60.192059,24.945831,79,0,49,2,100,100,200,100,0,0,0,300
2020/07/13,29,SE,1735,57,17.3,71.7,25,59.334591,18.063240,2444,90,4770,111,200,100,200,300,100,100,0,300
2020/07/13,29,DK,256,2,16.4,74.7,137,55.676098,12.568337,160,3,119,2,200,200,100,300,100,100,0,300
